OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Uniq70287,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_bennonis
Uniq21527,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,
Uniq105892,Bacteria,Firmicutes,Bacilli,,,,
Uniq25380,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
Uniq109899,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
Uniq94005,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella_pneumoniae
Uniq49145,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_aureus
Uniq90411,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,
Uniq64808,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
Uniq63455,Bacteria,Firmicutes,,,,,
Uniq50334,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,Saccharopolyspora_gregorii
Uniq2869,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Epulopiscium,
Uniq82384,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
Uniq80807,Bacteria,Actinobacteria,,,,,
Uniq115990,Bacteria,Firmicutes,,,,,
Uniq97573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,
Uniq57191,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Allisonella,Allisonella_histaminiformans
Uniq49236,Bacteria,Firmicutes,,,,,
Uniq82174,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis
Uniq92263,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella_pneumoniae
Uniq111917,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,
Uniq113922,Bacteria,Firmicutes,,,,,
Uniq393,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus,
Uniq53694,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_10,
Uniq14504,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,,
Uniq5788,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Eubacterium_coprostanoligenes_group,
Uniq15851,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq96160,Bacteria,Bacteroidetes,Bacteroidia,,,,
Uniq112676,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,
Uniq112860,Bacteria,Firmicutes,Bacilli,,,,
Uniq106398,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
Uniq111086,Bacteria,Proteobacteria,,,,,
Uniq69067,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,TK34,,
Uniq101648,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,
Uniq115098,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
Uniq50921,Bacteria,Firmicutes,Clostridia,,,,
Uniq110420,Bacteria,Firmicutes,Negativicutes,,,,
Uniq61027,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia_coli
Uniq116280,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,
Uniq39407,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,Altererythrobacter_dongtanensis
Uniq86228,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq66658,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,
Uniq42414,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium_aquifrigidense
Uniq113462,Bacteria,Firmicutes,Negativicutes,,,,
Uniq39020,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq82593,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
Uniq98664,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq85370,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis
Uniq68187,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq87313,Bacteria,Firmicutes,,,,,
Uniq100828,Bacteria,Firmicutes,,,,,
Uniq31516,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Scardovia_wiggsiae
Uniq102709,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq12065,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
Uniq100783,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
Uniq108051,Bacteria,Actinobacteria,Actinobacteria,,,,
Uniq90130,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq98902,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq95323,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_ovatus
Uniq107135,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
Uniq21603,Bacteria,Firmicutes,Bacilli,Bacillales,Family_XI,Gemella,Gemella
Uniq93224,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella_pneumoniae
Uniq50415,Bacteria,Actinobacteria,,,,,
Uniq38131,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,
Uniq100459,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
Uniq115908,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq59517,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq84172,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
Uniq11330,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,
Uniq99221,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Uniq363,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
Uniq32394,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella_4,
Uniq46095,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_longum
Uniq92630,Bacteria,Bacteroidetes,Bacteroidia,,,,
Uniq74391,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_breve
Uniq55547,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Uniq27151,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq82167,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter_aegrifaciens
Uniq114231,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
Uniq93500,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus_torques_group,
Uniq45777,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,
Uniq59799,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,
Uniq35239,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,Anaerococcus_hydrogenalis
Uniq86285,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
